Sample,Class,Li,Be,B,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Nb,Mo,Ag,Cd,Cs,Ba,Ta,W,Tl,Pb
S_223,Class_3,18.02 ,0.35 ,406.21 ,1510702.33 ,978189.26 ,842.37 ,20535.94 ,7229800.28 ,5902435.69 ,26755.78 ,136.64 ,13.13 ,35.46 ,223.90 ,5709.45 ,11.83 ,17.04 ,1143.15 ,12552.04 ,0.37 ,0.90 ,2910.27 ,1263.18 ,3302.42 ,463.11 ,70.05 ,13.93 ,0.29 ,0.72 ,87.94 ,9.30 ,61.15 ,3.72 ,0.97 ,0.50 
S_224,Class_3,17.21 ,0.13 ,503.49 ,1656385.37 ,1012516.33 ,1126.07 ,19255.59 ,7179244.25 ,5740640.14 ,36604.64 ,171.48 ,6.72 ,15.37 ,282.25 ,5577.51 ,14.45 ,20.57 ,1944.05 ,12969.52 ,0.00 ,0.44 ,1710.27 ,1336.88 ,3256.64 ,806.72 ,64.28 ,19.10 ,0.59 ,0.91 ,68.09 ,16.90 ,56.96 ,2.67 ,1.00 ,1.35 
S_225,Class_3,20.19 ,0.37 ,449.79 ,2046829.37 ,1162913.39 ,935.03 ,19919.21 ,8279063.13 ,6541499.13 ,34017.96 ,196.58 ,20.09 ,11.60 ,201.45 ,4699.26 ,12.55 ,14.40 ,1080.58 ,16584.12 ,0.00 ,0.00 ,3874.91 ,1324.26 ,3685.04 ,629.37 ,54.24 ,10.00 ,0.17 ,0.28 ,99.51 ,9.48 ,53.93 ,3.14 ,0.95 ,0.62 
S_226,Class_3,20.46 ,0.32 ,424.30 ,2037656.13 ,1078250.38 ,1042.06 ,18523.68 ,7954224.93 ,6280541.25 ,35135.18 ,193.80 ,16.16 ,21.71 ,252.78 ,5648.30 ,9.95 ,32.30 ,1152.60 ,15638.46 ,0.00 ,0.43 ,3811.94 ,1347.62 ,3553.87 ,649.41 ,42.51 ,22.33 ,0.21 ,0.78 ,89.84 ,10.45 ,41.96 ,2.82 ,1.03 ,1.63 
S_227,Class_3,19.23 ,0.14 ,549.99 ,1578984.58 ,1059478.52 ,1474.37 ,18944.65 ,7529829.67 ,6193553.46 ,29248.53 ,145.09 ,16.72 ,15.43 ,281.84 ,4516.85 ,11.45 ,20.75 ,1022.96 ,15358.49 ,0.73 ,0.45 ,2918.16 ,1167.29 ,3792.84 ,575.38 ,35.53 ,11.77 ,0.23 ,0.38 ,90.83 ,11.78 ,37.64 ,2.10 ,1.07 ,0.94 
S_228,Class_3,17.38 ,0.31 ,396.25 ,1827378.39 ,1342324.81 ,1014.74 ,18449.88 ,9176638.02 ,7104352.56 ,30036.49 ,199.51 ,17.11 ,22.14 ,326.17 ,5718.26 ,12.46 ,42.92 ,1302.22 ,14201.00 ,0.37 ,0.00 ,3747.08 ,1418.68 ,4259.02 ,515.75 ,35.82 ,14.26 ,0.38 ,0.77 ,100.52 ,7.55 ,39.48 ,2.40 ,1.30 ,0.77 
S_229,Class_3,26.82 ,0.22 ,458.50 ,2244801.77 ,968845.98 ,1014.10 ,17986.30 ,6899597.90 ,5285147.43 ,35232.99 ,208.18 ,29.84 ,55.40 ,331.47 ,7077.70 ,16.52 ,39.54 ,1206.05 ,16668.46 ,0.70 ,0.42 ,3691.08 ,1351.06 ,3164.41 ,732.45 ,33.98 ,23.60 ,0.28 ,1.20 ,77.67 ,14.70 ,37.14 ,1.90 ,1.09 ,0.64 
S_230,Class_3,20.59 ,0.58 ,462.17 ,2243949.58 ,1231015.28 ,1035.01 ,19559.64 ,8754233.81 ,7294280.51 ,44566.93 ,266.76 ,11.72 ,99.89 ,292.93 ,8404.56 ,16.43 ,21.65 ,1440.00 ,16332.92 ,0.71 ,0.44 ,2207.49 ,1756.56 ,4192.85 ,968.92 ,29.45 ,23.99 ,0.24 ,0.64 ,89.57 ,15.02 ,34.11 ,1.91 ,1.01 ,1.27 
S_231,Class_3,19.86 ,0.13 ,408.34 ,2056275.14 ,1283736.96 ,998.17 ,19696.55 ,9087230.16 ,7187968.01 ,30528.70 ,213.65 ,15.84 ,20.61 ,304.47 ,6287.64 ,15.14 ,21.58 ,1359.09 ,25230.70 ,0.00 ,0.00 ,4077.72 ,1465.42 ,4286.25 ,523.42 ,26.63 ,18.72 ,0.04 ,0.99 ,107.02 ,7.39 ,31.45 ,1.44 ,1.34 ,0.79 
S_232,Class_3,17.40 ,0.35 ,367.37 ,1936264.55 ,1184261.64 ,1604.65 ,19931.85 ,8380410.63 ,6444858.65 ,32725.18 ,265.80 ,17.76 ,52.85 ,276.95 ,7141.64 ,19.70 ,21.97 ,1332.15 ,18196.04 ,0.37 ,0.00 ,3178.19 ,1514.43 ,3715.64 ,566.91 ,20.31 ,17.65 ,0.21 ,0.66 ,96.34 ,13.76 ,25.25 ,1.46 ,1.29 ,0.92 
