Sample,Class,Li,Be,B,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Nb,Mo,Ag,Cd,Cs,Ba,Ta,W,Tl,Pb
S_313,Class_3,24.60 ,0.30 ,794.10 ,2152475.10 ,1024363.50 ,1376.70 ,66246.00 ,9370371.00 ,12392282.40 ,93514.50 ,834.60 ,12.90 ,23.70 ,216.30 ,5573.10 ,9.30 ,87.00 ,884.10 ,9518.40 ,0.00 ,0.00 ,981.90 ,712.50 ,3209.40 ,1631.40 ,2.40 ,10.20 ,0.30 ,0.60 ,80.70 ,77.40 ,3.30 ,0.30 ,0.00 ,7.20 
S_314,Class_3,18.60 ,0.30 ,516.90 ,2143061.70 ,1107945.30 ,492.00 ,63265.50 ,11217223.20 ,14730396.30 ,74347.80 ,621.90 ,9.00 ,32.40 ,179.10 ,6131.40 ,9.30 ,10.80 ,1024.20 ,10296.60 ,0.00 ,0.00 ,1461.60 ,896.70 ,3903.30 ,1111.20 ,4.20 ,13.80 ,0.30 ,0.30 ,95.10 ,64.80 ,5.70 ,0.00 ,0.30 ,2.10 
S_315,Class_3,16.20 ,0.30 ,536.10 ,1882049.70 ,925914.90 ,711.60 ,63684.30 ,8706030.30 ,11090119.80 ,90450.90 ,595.50 ,9.30 ,72.60 ,216.60 ,5995.20 ,7.80 ,92.40 ,942.60 ,8699.70 ,0.30 ,0.00 ,1449.90 ,724.20 ,2910.60 ,1389.30 ,3.00 ,12.00 ,0.00 ,0.60 ,72.60 ,63.90 ,4.50 ,0.30 ,0.30 ,10.20 
S_316,Class_3,30.30 ,0.00 ,866.10 ,2739666.60 ,1326564.90 ,755.70 ,35792.40 ,11831282.10 ,15175243.20 ,76794.30 ,615.60 ,9.60 ,48.90 ,218.10 ,5983.50 ,9.60 ,85.20 ,1035.90 ,10880.40 ,0.30 ,0.60 ,1335.30 ,946.80 ,3929.40 ,1214.70 ,39.00 ,21.90 ,0.60 ,0.60 ,96.60 ,47.40 ,37.20 ,5.40 ,0.60 ,6.90 
S_317,Class_3,22.20 ,0.30 ,723.30 ,2243743.50 ,1018806.30 ,827.10 ,56765.70 ,9828612.00 ,12337941.60 ,93254.10 ,696.00 ,11.10 ,59.70 ,194.10 ,5527.80 ,10.20 ,85.50 ,864.00 ,9588.60 ,0.00 ,0.00 ,1392.90 ,831.00 ,3231.60 ,1459.20 ,5.40 ,10.80 ,1.20 ,0.60 ,79.50 ,92.40 ,6.60 ,0.30 ,0.30 ,9.60 
S_318,Class_3,25.80 ,0.00 ,652.20 ,2304967.20 ,1262463.00 ,696.30 ,60525.00 ,12586103.70 ,16948120.80 ,103152.30 ,685.80 ,13.50 ,38.10 ,225.00 ,7753.20 ,11.10 ,93.90 ,1257.30 ,11996.10 ,0.00 ,0.00 ,1220.40 ,985.80 ,4207.50 ,1374.00 ,4.80 ,16.20 ,0.60 ,0.60 ,111.00 ,106.80 ,6.30 ,0.00 ,0.30 ,9.00 
S_319,Class_3,29.70 ,0.00 ,1079.40 ,2819692.50 ,1193214.60 ,1473.00 ,108647.70 ,10526913.90 ,13502395.80 ,196565.10 ,785.40 ,12.60 ,93.90 ,237.00 ,6465.60 ,12.60 ,21.90 ,873.30 ,10781.10 ,1.20 ,0.90 ,1258.50 ,815.70 ,3837.30 ,3273.90 ,7.20 ,17.40 ,0.00 ,0.00 ,87.00 ,45.30 ,6.90 ,0.30 ,0.60 ,0.30 
S_320,Class_3,24.00 ,0.30 ,948.90 ,2481502.80 ,1090059.60 ,565.20 ,161089.50 ,9625024.20 ,12954597.30 ,176644.50 ,793.20 ,21.90 ,229.20 ,205.80 ,6704.70 ,12.00 ,14.70 ,818.10 ,10083.00 ,0.30 ,0.60 ,1099.20 ,771.30 ,3741.60 ,2899.50 ,3.90 ,35.70 ,0.00 ,0.30 ,82.20 ,48.60 ,4.20 ,0.00 ,0.60 ,0.30 
S_321,Class_3,10.50 ,0.30 ,501.00 ,2046706.50 ,1072480.50 ,2425.50 ,187431.60 ,10107582.30 ,14166609.00 ,89562.00 ,905.40 ,13.20 ,75.00 ,156.30 ,6559.50 ,11.40 ,12.00 ,813.30 ,9605.40 ,0.90 ,0.90 ,1020.30 ,730.20 ,3737.10 ,901.80 ,2.70 ,21.90 ,0.00 ,0.00 ,89.70 ,61.50 ,3.00 ,0.60 ,0.30 ,0.30 
S_322,Class_3,26.40 ,0.00 ,806.10 ,1990919.40 ,1002060.00 ,1268.70 ,233523.30 ,9193237.80 ,12347787.00 ,134289.60 ,842.40 ,9.90 ,10.80 ,139.80 ,5892.60 ,11.70 ,88.20 ,1077.90 ,9843.30 ,0.90 ,0.60 ,852.00 ,698.10 ,3277.20 ,1224.60 ,1.50 ,8.10 ,0.00 ,9.00 ,81.30 ,241.50 ,2.70 ,0.90 ,0.30 ,0.30 
S_323,Class_3,5.40 ,0.30 ,368.70 ,1432360.20 ,804395.70 ,5479.50 ,181385.40 ,7374607.80 ,9380051.10 ,101589.90 ,750.30 ,12.60 ,45.30 ,193.80 ,5256.90 ,8.70 ,22.50 ,537.00 ,7846.20 ,1.20 ,1.20 ,1074.90 ,542.10 ,2652.30 ,1182.30 ,2.10 ,8.40 ,0.00 ,0.00 ,60.90 ,57.00 ,3.30 ,0.60 ,0.30 ,0.30 
S_324,Class_3,19.50 ,0.00 ,782.70 ,2390655.00 ,1087303.20 ,5054.10 ,173423.40 ,9500772.00 ,12782502.00 ,117441.60 ,971.40 ,13.80 ,66.90 ,138.60 ,6457.20 ,12.30 ,107.70 ,1192.80 ,10068.30 ,0.60 ,0.30 ,962.10 ,728.10 ,3425.10 ,1607.40 ,2.40 ,15.90 ,0.00 ,0.90 ,83.40 ,141.90 ,2.70 ,0.30 ,0.30 ,5.10 
S_325,Class_3,12.30 ,0.00 ,573.00 ,1903304.40 ,1055324.10 ,767.70 ,175705.50 ,9861491.70 ,13406069.10 ,117950.10 ,885.90 ,10.20 ,311.10 ,218.10 ,7699.50 ,11.40 ,19.20 ,791.70 ,9876.30 ,0.90 ,0.30 ,1301.40 ,780.30 ,3689.70 ,1399.80 ,3.60 ,14.70 ,0.30 ,0.00 ,82.50 ,47.70 ,4.20 ,0.30 ,0.30 ,0.60 
S_326,Class_3,15.30 ,0.00 ,620.40 ,1938635.70 ,972409.20 ,917.40 ,133628.40 ,8992404.60 ,11715573.60 ,134534.10 ,748.20 ,8.70 ,108.60 ,247.80 ,5666.40 ,11.10 ,16.80 ,630.60 ,8801.10 ,0.90 ,0.30 ,1282.80 ,691.80 ,3378.60 ,1663.20 ,5.40 ,12.60 ,0.00 ,0.30 ,73.80 ,73.50 ,5.40 ,0.30 ,0.60 ,16.50 
S_327,Class_3,26.10 ,0.00 ,866.40 ,2307629.40 ,1040818.50 ,1349.10 ,114053.40 ,8362978.20 ,11701405.80 ,104858.40 ,536.70 ,13.20 ,75.60 ,202.80 ,5387.70 ,8.40 ,21.60 ,651.30 ,8980.80 ,0.30 ,0.30 ,1234.50 ,691.50 ,2879.10 ,2518.20 ,5.70 ,10.20 ,0.30 ,0.00 ,70.50 ,66.60 ,4.50 ,0.30 ,0.30 ,1.20 
S_328,Class_3,10.50 ,0.00 ,493.80 ,1630764.00 ,848669.70 ,1621.80 ,204838.80 ,7753302.90 ,10367411.40 ,107600.70 ,789.00 ,6.00 ,24.90 ,215.10 ,5835.90 ,9.30 ,18.30 ,744.00 ,8205.00 ,0.90 ,0.90 ,1198.50 ,588.30 ,2970.90 ,1400.70 ,1.80 ,10.50 ,1.80 ,1.20 ,66.00 ,49.20 ,3.00 ,0.30 ,0.30 ,0.00 
S_329,Class_3,19.20 ,0.00 ,626.10 ,1744204.80 ,791793.90 ,914.40 ,63403.80 ,7601922.60 ,9471333.30 ,101107.20 ,611.40 ,11.10 ,19.80 ,166.50 ,4560.60 ,7.50 ,45.30 ,634.50 ,7461.00 ,0.60 ,0.60 ,1135.20 ,537.00 ,2535.30 ,1452.30 ,12.00 ,6.00 ,0.30 ,0.00 ,58.80 ,36.30 ,10.20 ,1.50 ,0.30 ,0.60 
S_330,Class_3,12.90 ,0.00 ,429.00 ,1425981.00 ,782827.20 ,1206.60 ,135609.90 ,7097567.40 ,9261609.00 ,94006.50 ,610.20 ,7.50 ,61.20 ,188.70 ,4491.30 ,6.60 ,14.10 ,582.30 ,7224.30 ,0.60 ,0.60 ,1084.50 ,467.40 ,2565.30 ,1035.30 ,2.40 ,8.40 ,0.00 ,0.30 ,60.90 ,36.00 ,1.50 ,0.30 ,0.30 ,0.00 
S_331,Class_3,21.30 ,0.00 ,624.90 ,2076142.80 ,1005755.70 ,1305.00 ,71789.70 ,9514750.80 ,11980761.90 ,102504.00 ,738.30 ,8.40 ,14.40 ,238.80 ,4976.10 ,9.30 ,18.30 ,714.60 ,9279.60 ,1.50 ,0.60 ,1257.90 ,702.60 ,3340.50 ,1312.20 ,10.80 ,11.10 ,0.30 ,0.00 ,78.90 ,47.10 ,8.70 ,1.20 ,0.30 ,0.00 
S_332,Class_3,9.00 ,0.00 ,439.50 ,1563659.70 ,807906.00 ,1482.30 ,176165.40 ,7416690.90 ,9895687.50 ,89337.90 ,738.30 ,8.70 ,29.40 ,154.50 ,3876.60 ,8.40 ,22.50 ,591.90 ,7315.80 ,0.60 ,0.60 ,1052.40 ,552.00 ,2770.80 ,1106.70 ,2.70 ,9.60 ,0.00 ,0.30 ,62.10 ,29.70 ,3.30 ,0.60 ,0.30 ,0.30 
S_333,Class_3,29.70 ,0.30 ,790.80 ,2030706.30 ,1024863.90 ,1172.40 ,14177.70 ,10060219.50 ,12062829.00 ,133581.90 ,687.90 ,15.30 ,48.30 ,228.90 ,5249.10 ,10.20 ,17.10 ,664.50 ,9240.00 ,0.90 ,0.60 ,1155.00 ,713.10 ,3373.80 ,1666.20 ,23.70 ,15.90 ,0.30 ,0.60 ,76.20 ,41.10 ,17.10 ,3.60 ,0.60 ,5.40 
S_334,Class_3,15.00 ,0.00 ,603.90 ,1923466.20 ,1016113.20 ,11655.00 ,153934.20 ,9074148.30 ,12027537.90 ,115212.00 ,851.40 ,13.50 ,17.70 ,185.10 ,4979.70 ,11.10 ,23.10 ,711.00 ,9479.70 ,2.10 ,0.30 ,956.40 ,684.30 ,3414.60 ,1486.20 ,3.90 ,8.40 ,0.30 ,0.30 ,74.70 ,52.80 ,4.20 ,0.00 ,0.30 ,3.00 
S_335,Class_3,21.30 ,0.00 ,667.50 ,2278557.90 ,1223766.30 ,1862.10 ,65829.60 ,11983400.10 ,15033229.80 ,179900.40 ,952.20 ,24.30 ,24.90 ,391.50 ,6055.50 ,12.60 ,16.80 ,905.70 ,11717.40 ,0.60 ,1.20 ,1176.00 ,870.00 ,4174.20 ,2151.60 ,8.70 ,12.90 ,0.00 ,0.30 ,94.80 ,30.60 ,7.80 ,1.20 ,0.60 ,0.00 
S_336,Class_3,10.50 ,0.00 ,569.40 ,1666713.60 ,779577.00 ,1098.30 ,225638.10 ,7001491.50 ,9524007.90 ,101895.90 ,711.90 ,11.10 ,28.20 ,154.80 ,4499.70 ,6.30 ,18.60 ,637.80 ,6541.80 ,0.30 ,0.30 ,1066.50 ,539.70 ,2502.60 ,1258.20 ,1.50 ,10.50 ,0.00 ,0.30 ,62.10 ,48.60 ,2.70 ,0.60 ,0.00 ,0.60 
S_337,Class_3,13.80 ,0.00 ,580.80 ,1830245.10 ,979452.60 ,795.00 ,146454.00 ,9104832.90 ,12305587.50 ,123670.80 ,749.40 ,10.50 ,15.30 ,166.80 ,4581.90 ,10.50 ,16.50 ,675.90 ,8793.30 ,0.30 ,0.60 ,965.40 ,660.30 ,3304.50 ,1419.60 ,4.50 ,9.60 ,0.00 ,0.60 ,80.10 ,72.00 ,4.50 ,0.00 ,0.30 ,0.60 
S_338,Class_3,4.50 ,0.00 ,301.20 ,1441964.40 ,785522.10 ,1387.50 ,214675.50 ,7178183.70 ,9683233.50 ,90603.00 ,712.50 ,6.30 ,15.30 ,206.40 ,3943.20 ,6.90 ,13.20 ,562.20 ,7122.00 ,0.30 ,0.30 ,1205.10 ,523.20 ,2633.10 ,919.80 ,1.80 ,7.20 ,0.00 ,0.30 ,64.50 ,29.40 ,3.00 ,0.60 ,0.30 ,0.30 
S_339,Class_3,21.90 ,0.00 ,686.40 ,2257506.60 ,1154756.70 ,1620.30 ,109984.80 ,11033026.50 ,14724994.20 ,128566.80 ,869.10 ,10.80 ,23.70 ,240.00 ,7100.70 ,12.60 ,20.40 ,881.70 ,12568.50 ,0.90 ,0.90 ,1283.40 ,825.60 ,4099.20 ,1457.70 ,9.60 ,13.50 ,0.30 ,0.30 ,94.20 ,130.50 ,8.70 ,0.30 ,0.60 ,3.30 
S_340,Class_3,20.10 ,0.00 ,540.90 ,1991305.20 ,1059773.70 ,2689.20 ,111807.60 ,9782488.20 ,12763173.60 ,116661.90 ,775.20 ,9.60 ,18.90 ,219.90 ,5898.30 ,8.10 ,14.10 ,790.80 ,9123.30 ,1.20 ,0.30 ,1294.50 ,722.70 ,3334.50 ,1241.10 ,6.60 ,10.80 ,0.30 ,0.30 ,84.30 ,58.20 ,6.30 ,0.30 ,0.30 ,0.90 
S_351,Class_4,5.86 ,0.20 ,0.00 ,1204558.03 ,1655605.93 ,3614.84 ,72516.38 ,15198550.66 ,21515340.50 ,36160.67 ,296.61 ,4.09 ,16.79 ,302.68 ,9012.29 ,13.16 ,28.93 ,1468.40 ,16072.70 ,0.58 ,0.14 ,1415.58 ,1934.78 ,5652.68 ,474.89 ,28.85 ,10.13 ,0.94 ,11.82 ,113.54 ,23.59 ,45.98 ,1.22 ,1.57 ,3.53 
S_352,Class_4,3.10 ,0.00 ,57.31 ,1242678.93 ,1634380.98 ,2739.92 ,111488.11 ,16869656.87 ,19965135.03 ,27571.15 ,339.03 ,3.84 ,22.74 ,269.69 ,9288.86 ,13.77 ,15.50 ,1476.89 ,14835.60 ,0.00 ,0.98 ,1258.60 ,1994.65 ,5248.14 ,296.52 ,46.83 ,12.04 ,0.00 ,11.59 ,112.75 ,3.64 ,57.60 ,2.32 ,1.57 ,0.41 
S_353,Class_4,3.80 ,0.18 ,0.00 ,1686150.07 ,1534508.33 ,2406.75 ,262159.37 ,16239271.34 ,19795736.62 ,26985.85 ,259.75 ,5.07 ,16.13 ,206.43 ,12176.25 ,12.96 ,15.39 ,1871.52 ,16210.50 ,0.00 ,0.25 ,1148.89 ,2055.27 ,5077.22 ,328.92 ,8.68 ,9.85 ,0.03 ,10.82 ,126.62 ,1.26 ,18.66 ,0.48 ,2.12 ,1.15 
S_354,Class_4,7.22 ,0.38 ,0.00 ,1167524.00 ,1381179.37 ,3401.81 ,74929.36 ,12349486.94 ,17300272.45 ,36178.65 ,316.94 ,2.33 ,22.09 ,240.96 ,8580.17 ,9.09 ,26.72 ,1207.73 ,13814.63 ,0.00 ,0.00 ,1341.90 ,1801.15 ,4676.88 ,499.16 ,23.54 ,9.30 ,0.48 ,9.05 ,118.10 ,6.17 ,38.93 ,0.87 ,1.08 ,1.45 
S_355,Class_4,12.51 ,0.00 ,0.00 ,2143350.47 ,1703212.29 ,3774.19 ,84360.26 ,15552821.11 ,22147437.80 ,55748.45 ,254.93 ,6.54 ,30.08 ,283.48 ,12832.66 ,13.37 ,38.70 ,1737.05 ,18020.09 ,1.66 ,0.00 ,3953.91 ,2726.45 ,5217.11 ,1055.84 ,27.84 ,12.67 ,0.11 ,11.42 ,143.51 ,6.03 ,47.62 ,1.16 ,1.15 ,1.41 
S_356,Class_4,14.14 ,0.78 ,0.00 ,2453911.72 ,1764934.44 ,5596.97 ,78455.97 ,16752640.27 ,23719577.56 ,119176.66 ,434.77 ,8.55 ,134.17 ,433.92 ,14243.77 ,15.31 ,79.29 ,2162.09 ,22794.53 ,1.68 ,0.58 ,3889.32 ,2356.32 ,6074.59 ,2195.80 ,23.14 ,14.67 ,0.14 ,3.84 ,161.05 ,26.02 ,37.15 ,1.70 ,3.99 ,2.75 
S_357,Class_4,9.55 ,0.24 ,0.00 ,2550685.63 ,1794370.90 ,8490.00 ,81871.21 ,16265905.84 ,23687593.27 ,40066.41 ,872.82 ,20.70 ,396.75 ,407.66 ,17865.29 ,17.98 ,231.28 ,2249.52 ,20445.36 ,1.99 ,1.00 ,3820.30 ,2459.13 ,6173.47 ,367.94 ,27.25 ,18.28 ,0.28 ,8.17 ,159.09 ,27.10 ,42.34 ,2.41 ,4.20 ,3.66 
S_358,Class_4,11.51 ,0.51 ,0.00 ,1815578.98 ,1625353.43 ,8669.57 ,89059.32 ,16395882.68 ,21766481.79 ,58109.52 ,1141.18 ,17.94 ,81.70 ,458.60 ,23820.00 ,18.35 ,48.35 ,1858.65 ,21932.49 ,1.31 ,1.00 ,3976.88 ,2169.84 ,4748.83 ,877.18 ,20.08 ,11.10 ,0.74 ,12.33 ,139.47 ,18.05 ,32.53 ,1.77 ,4.67 ,2.52 
S_359,Class_4,5.07 ,0.00 ,0.00 ,1508777.56 ,1394110.20 ,4316.00 ,90680.71 ,13001172.36 ,18165492.72 ,41125.87 ,274.53 ,8.74 ,59.09 ,242.60 ,15091.49 ,12.58 ,48.89 ,1454.71 ,14961.08 ,0.59 ,0.13 ,2731.30 ,2371.64 ,3932.09 ,976.66 ,16.38 ,12.29 ,0.28 ,10.91 ,114.25 ,7.54 ,29.04 ,1.02 ,0.83 ,2.19 
S_360,Class_4,5.09 ,0.16 ,0.00 ,1789458.11 ,1774512.43 ,4753.67 ,86519.52 ,15879552.39 ,22327979.13 ,37028.10 ,368.99 ,8.01 ,108.28 ,294.29 ,12573.08 ,13.25 ,154.86 ,1720.72 ,15787.05 ,1.22 ,0.53 ,2615.11 ,2889.97 ,4765.34 ,684.37 ,18.75 ,14.02 ,0.11 ,10.26 ,139.96 ,12.68 ,31.74 ,0.91 ,0.92 ,2.35 
S_361,Class_4,7.42 ,0.58 ,0.00 ,2096760.40 ,1677261.79 ,4943.79 ,96764.54 ,15448577.68 ,22217611.67 ,52621.63 ,409.63 ,13.38 ,94.91 ,290.84 ,18568.65 ,16.19 ,39.07 ,1763.16 ,21669.06 ,0.23 ,0.14 ,5468.28 ,2509.65 ,5073.28 ,834.15 ,17.44 ,8.85 ,0.41 ,17.82 ,217.19 ,6.09 ,31.22 ,1.29 ,1.02 ,2.15 
S_362,Class_4,7.11 ,0.04 ,0.00 ,2080440.30 ,1681795.38 ,4729.28 ,104647.50 ,15024534.54 ,21711652.69 ,44790.91 ,351.23 ,9.76 ,40.05 ,242.69 ,15304.56 ,14.44 ,32.55 ,1544.84 ,17290.61 ,0.91 ,0.00 ,5443.84 ,2447.39 ,5054.26 ,650.09 ,13.78 ,8.07 ,0.18 ,16.83 ,205.74 ,12.92 ,27.59 ,0.53 ,1.13 ,1.78 
S_363,Class_4,7.40 ,0.37 ,0.00 ,1843855.15 ,1754170.12 ,6137.97 ,94334.36 ,15489255.85 ,22848615.38 ,57007.49 ,448.99 ,12.53 ,34.33 ,361.58 ,14753.36 ,14.83 ,18.52 ,1618.34 ,16759.89 ,0.21 ,0.86 ,2325.34 ,2580.79 ,6320.36 ,921.06 ,11.49 ,16.56 ,0.11 ,13.12 ,138.71 ,8.79 ,21.59 ,0.56 ,1.17 ,1.82 
S_364,Class_4,6.78 ,0.26 ,0.00 ,2230469.77 ,1583839.50 ,4985.19 ,94775.44 ,15087113.76 ,22650616.99 ,47903.14 ,317.45 ,16.94 ,169.26 ,360.80 ,19736.18 ,21.20 ,91.01 ,1821.17 ,16931.58 ,0.84 ,0.50 ,2385.13 ,2663.19 ,6154.22 ,787.91 ,13.12 ,11.85 ,0.15 ,15.09 ,132.12 ,18.89 ,23.37 ,0.95 ,1.18 ,1.83 
S_365,Class_4,8.03 ,0.27 ,0.00 ,2140792.34 ,1333624.07 ,4789.73 ,101413.83 ,11968383.06 ,17115137.71 ,80196.20 ,365.05 ,19.34 ,85.05 ,308.80 ,11645.13 ,14.36 ,57.92 ,1955.07 ,21294.12 ,0.88 ,0.53 ,2907.29 ,2427.43 ,4428.01 ,2200.07 ,12.69 ,13.30 ,6.03 ,19.79 ,95.50 ,10.19 ,23.07 ,0.99 ,0.67 ,3.24 
S_366,Class_4,6.68 ,0.29 ,0.00 ,1907446.77 ,1354138.06 ,3077.65 ,98957.44 ,12140658.47 ,17171674.09 ,60276.45 ,321.67 ,14.46 ,43.78 ,303.84 ,9656.39 ,12.92 ,22.71 ,1339.92 ,16401.73 ,0.00 ,0.00 ,2765.82 ,2357.16 ,4367.65 ,1647.20 ,9.95 ,9.91 ,0.79 ,14.06 ,100.01 ,9.41 ,20.95 ,0.65 ,0.57 ,2.28 
S_367,Class_4,19.31 ,0.48 ,39.00 ,1195203.52 ,1577259.64 ,3261.84 ,33203.69 ,15590446.09 ,22068002.26 ,42744.85 ,328.70 ,5.23 ,17.61 ,360.51 ,10241.41 ,18.31 ,525.61 ,1652.53 ,18331.29 ,0.28 ,0.16 ,1753.85 ,2360.45 ,5320.12 ,710.89 ,219.33 ,21.19 ,1.02 ,15.47 ,115.28 ,6.39 ,268.14 ,8.54 ,1.83 ,16.22 
S_368,Class_4,3.76 ,0.07 ,51.81 ,1433090.35 ,1403032.93 ,3327.66 ,117112.27 ,14732277.19 ,17851885.86 ,30404.43 ,321.98 ,1.66 ,12.64 ,301.25 ,10136.59 ,14.70 ,15.84 ,1602.16 ,18430.82 ,0.00 ,0.00 ,1681.93 ,2345.70 ,4275.25 ,440.80 ,37.07 ,15.94 ,0.00 ,17.37 ,98.96 ,1.31 ,47.23 ,2.57 ,1.39 ,0.28 
S_369,Class_4,11.23 ,0.00 ,0.00 ,2258091.63 ,1197966.33 ,2114.59 ,317016.21 ,12909451.15 ,17378480.94 ,72293.20 ,266.55 ,5.95 ,40.45 ,216.12 ,10686.45 ,13.53 ,17.89 ,1798.58 ,21775.41 ,0.02 ,0.30 ,3491.44 ,2068.75 ,4362.31 ,1339.14 ,7.46 ,8.39 ,0.00 ,14.67 ,120.08 ,4.03 ,16.67 ,0.90 ,2.01 ,0.48 
S_370,Class_4,9.14 ,0.00 ,0.28 ,2037382.93 ,1315278.92 ,3262.94 ,227959.97 ,13154065.47 ,17301865.85 ,49377.59 ,335.84 ,5.02 ,38.17 ,357.81 ,8483.34 ,11.83 ,20.77 ,1611.57 ,15313.09 ,0.32 ,1.07 ,2985.99 ,2244.89 ,3775.35 ,677.55 ,14.69 ,9.41 ,0.00 ,11.30 ,121.96 ,9.51 ,23.33 ,1.37 ,0.80 ,0.86 
S_371,Class_4,8.61 ,0.21 ,41.16 ,3119096.01 ,1281096.22 ,3809.77 ,145248.71 ,13604686.63 ,19143283.74 ,67505.33 ,963.26 ,19.11 ,23.37 ,420.21 ,16299.45 ,21.23 ,26.80 ,2109.18 ,18648.91 ,0.33 ,1.06 ,1773.79 ,2321.26 ,4645.83 ,1524.21 ,29.98 ,10.95 ,0.10 ,21.18 ,104.98 ,19.68 ,41.13 ,2.04 ,1.07 ,1.04 
S_372,Class_4,8.70 ,0.04 ,1.12 ,2548398.78 ,1268159.77 ,3869.23 ,259982.48 ,14270059.30 ,18078578.65 ,67190.02 ,290.24 ,4.51 ,9.22 ,232.85 ,10837.15 ,19.34 ,22.60 ,1805.39 ,21053.46 ,0.00 ,0.71 ,2344.92 ,1904.58 ,4139.68 ,1472.13 ,8.98 ,10.82 ,0.00 ,13.34 ,100.74 ,3.12 ,18.78 ,0.71 ,1.37 ,0.21 
S_373,Class_4,9.94 ,0.14 ,128.45 ,1667534.17 ,1559036.86 ,3078.78 ,71551.85 ,16126114.83 ,19453433.87 ,38956.01 ,321.41 ,6.24 ,142.75 ,256.48 ,8135.17 ,14.93 ,20.70 ,1289.95 ,15596.55 ,0.00 ,0.00 ,2249.52 ,2198.36 ,4846.74 ,534.80 ,92.76 ,13.45 ,0.00 ,10.83 ,131.29 ,1.94 ,92.49 ,4.32 ,1.60 ,0.57 
S_374,Class_4,29.28 ,0.43 ,0.00 ,2782163.20 ,1089026.84 ,8949.97 ,262555.01 ,12075195.37 ,16031687.46 ,109133.95 ,4272.61 ,48.14 ,32.80 ,561.05 ,40184.11 ,29.90 ,42.21 ,1844.94 ,22288.40 ,1.96 ,1.49 ,2228.57 ,2195.84 ,4066.05 ,2009.67 ,19.32 ,7.53 ,0.16 ,15.29 ,123.90 ,29.75 ,16.91 ,0.63 ,1.51 ,1.79 
S_375,Class_4,6.61 ,0.30 ,59.73 ,2148144.82 ,1439938.17 ,3901.84 ,165492.73 ,15402922.83 ,19455086.13 ,74573.89 ,381.69 ,4.91 ,24.28 ,240.36 ,9902.69 ,14.07 ,26.52 ,1713.90 ,16331.72 ,0.00 ,0.00 ,2290.24 ,2491.90 ,4046.75 ,1433.84 ,23.62 ,10.97 ,0.00 ,15.73 ,128.83 ,11.57 ,31.84 ,1.58 ,0.90 ,1.02 
S_376,Class_4,12.86 ,0.28 ,14.03 ,2331148.03 ,1278360.09 ,18296.85 ,110398.27 ,14506103.52 ,16901272.93 ,360999.75 ,870.99 ,7.52 ,22.59 ,447.78 ,9371.78 ,11.97 ,20.19 ,1882.74 ,21118.63 ,0.00 ,0.29 ,2431.75 ,1601.07 ,3842.26 ,8613.28 ,5.43 ,6.94 ,0.00 ,11.64 ,110.68 ,24.56 ,6.37 ,1.42 ,1.64 ,1.68 
S_377,Class_4,10.99 ,0.24 ,0.00 ,1884696.96 ,1426249.99 ,4443.99 ,244545.08 ,14424608.68 ,17416166.64 ,35401.25 ,349.85 ,2.80 ,25.34 ,211.46 ,8549.48 ,14.36 ,37.68 ,1303.23 ,15066.69 ,0.00 ,0.00 ,1613.35 ,1996.93 ,4500.08 ,524.09 ,11.50 ,9.68 ,0.00 ,10.29 ,94.79 ,3.44 ,19.98 ,0.90 ,1.04 ,1.94 
S_378,Class_4,7.96 ,0.09 ,204.83 ,2015876.48 ,1451308.77 ,2538.67 ,76485.86 ,16693898.58 ,20109302.26 ,48857.66 ,249.83 ,4.98 ,118.24 ,373.53 ,15007.28 ,18.43 ,17.15 ,2047.03 ,17637.86 ,0.00 ,0.71 ,2070.58 ,2192.30 ,4749.29 ,1019.70 ,132.10 ,17.38 ,0.26 ,14.57 ,115.58 ,2.57 ,122.67 ,6.11 ,1.16 ,0.95 
S_379,Class_4,13.57 ,0.54 ,0.00 ,1329707.77 ,1551102.20 ,3112.36 ,35382.96 ,14619847.11 ,21332668.50 ,29156.98 ,308.09 ,3.32 ,10.80 ,240.13 ,6707.23 ,10.94 ,12.18 ,1318.20 ,14169.32 ,0.67 ,0.00 ,2556.87 ,2708.94 ,4852.45 ,281.08 ,154.02 ,16.78 ,0.48 ,7.01 ,135.53 ,6.26 ,193.72 ,6.28 ,1.51 ,1.90 
S_380,Class_4,4.58 ,0.19 ,61.69 ,1531886.27 ,1357224.79 ,2376.23 ,125553.99 ,14471333.17 ,17510138.80 ,31537.68 ,299.37 ,4.16 ,67.27 ,229.30 ,8303.24 ,10.99 ,26.79 ,1326.55 ,14388.61 ,0.60 ,0.27 ,2666.52 ,2473.88 ,4086.35 ,432.35 ,33.10 ,12.33 ,0.00 ,6.84 ,120.00 ,3.52 ,44.06 ,2.57 ,1.05 ,0.48 
S_381,Class_4,6.13 ,0.15 ,21.39 ,2463545.34 ,1347202.69 ,3241.03 ,276850.87 ,14778485.98 ,18716012.49 ,90714.40 ,389.36 ,5.85 ,59.91 ,315.97 ,13623.56 ,18.66 ,25.31 ,2135.84 ,19570.17 ,0.66 ,0.29 ,1482.77 ,2534.77 ,4370.10 ,1766.43 ,10.70 ,13.16 ,0.13 ,17.65 ,113.02 ,13.07 ,21.28 ,1.29 ,1.29 ,1.45 
